cell_id,elevation_mean,elevation_std,slope_mean,slope_std,aspect_mean
0,100.52055416761299,31.751442564795767,5.777657964397315,7.860050901279928,237.766162569408
1,44.59704601272779,19.291982587835257,4.92984407438566,3.534861696242279,273.1159477319294
2,32.308440150346954,12.15643113791259,3.8235870337798765,1.6834845127069535,285.40702904137754
3,55.04540505979125,6.78623303329115,2.6011839444943665,1.454702351470558,283.1036324047833
4,6.034037413280476,3.547355110231238,3.634779497542947,2.691957264107738,278.40729269904193
5,41.77116582327754,6.0082792132877385,3.3897370085636434,2.8682685242344887,242.66193071233943
6,22.13830255057168,5.123715905341586,4.272351857959543,2.8364484005306196,273.7311822046321
7,58.72223589973142,9.293948438093533,3.0072690521486125,2.8009538996937806,266.0278648164727
8,10.002806265855627,5.5781162701997395,3.045093494147832,1.6989256993761093,288.66801199261994
9,16.905193677076184,4.465936364227496,3.8285703848876116,0.7105980567069897,307.68960192175706
10,39.66642824589832,8.677425744074906,3.412034209160421,2.2521086659294447,272.68814563500104
11,90.82483168807566,14.070236311135185,5.587629331708728,4.022059351474101,275.02709512205195
12,14.247073140977207,9.056933141876737,4.610961898690341,5.735138133170977,264.2532426646518
13,16.24584057452464,1.8738912005052542,2.1343423347730526,1.1788656585638229,252.24601308525862
14,23.503546779141104,4.1013437190929185,3.2882315598785525,2.6459356122212987,247.25375610366845
15,44.272320092112835,7.694825025860424,2.0868956894070236,1.7952008598125337,286.1120092112838
16,11.084987943837486,5.910681578639951,3.664673643414988,2.153232753491003,256.6136480027313
17,10.601592859455959,5.808143976004522,3.201027351339864,3.5355199896303597,254.40422603626942
18,28.98803258672954,5.277733814678309,2.9587995221455037,2.2237681414333568,216.76397777029302
19,31.384891937138033,4.507294217308563,3.27251419597611,3.574003767996646,57.07974631998069
20,21.946616993706034,2.1543339803301693,2.0640275736995557,1.279456549291188,315.8137263976305
21,20.537244405864197,9.772119909269115,4.598785927854938,4.3483683283433425,270.0943672839506
22,36.36639160988075,1.1851466402187454,0.9354480541950596,0.9976041333981172,336.28649914821125
23,39.075735365380886,1.2969323897822498,0.9513416708058733,0.3271400203176313,329.7369645280093
24,43.83988891503092,1.7019293755392901,1.0370454349707583,0.6784851422146576,299.6903737563861
25,36.39027526008827,0.3906069205204841,0.6253507404880596,0.09855702167753386,335.9149590163934
26,33.27749854312354,2.304461628559812,1.576713195658508,1.0450519992514231,286.23706293706294
27,30.034037145768632,2.6001894890066484,2.6822828209918477,0.6891394952713319,281.81111704192546
28,35.6113010895997,2.2651535871986987,1.8301764023335203,0.8426353864783578,263.37191358024694
29,52.077933347721306,15.118699505871472,5.297462883529369,3.8034143148637973,242.76454084385455
30,41.01896640653032,0.4849036225778977,0.5553230803030813,0.22048279139743635,230.81386795837818
31,40.92781496510922,0.29373001301993856,0.5565875155254475,0.06052891027452742,294.5316292475728
32,28.620169816616766,1.72643977059403,1.807328092837762,0.8422716995775873,291.15943113772454
33,27.97800648932253,1.3991759467017362,1.5988217608040316,0.32705832154972303,289.04747330633285
34,46.406523846984136,8.76732953427283,1.172211448747736,0.9058862827511031,288.9535683576956
35,82.32485800604229,18.86783450006971,3.6295626888217525,4.189038106994205,257.7740664652568
36,93.11136282505423,16.99664481377455,4.756873935936513,5.019645237181546,252.44212867616773
37,20.976062112603305,9.787935316968568,8.92908622804752,10.089320433302104,279.1858212809917
38,60.59312017914904,6.7047639124975715,3.751559729954591,3.0870361156474777,240.50087086339886
39,56.940480822043206,1.9099241492044252,1.9943249596645,0.8698252711431704,243.71342914683265
40,10.777830008106648,11.150034974681011,4.741284650288236,6.509441477756863,188.09014141596109
41,16.601592237629145,19.271504535015758,3.384034574950154,2.6891249277875007,287.22707087185063
